player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Bukayo Saka,13,Arsenal,23," D(L),M(CLR)  ",35,2937,9,2.6,37.4,83,1.3,0.8,0,7.67,16,4,0,3.1,0.7,6,1.4,2,0.2,1.5,1.6,1.9,0.4,1.2,0,0.5,0.9,0.1,0
Rodri,167,Man City,28," D(C),DMC  ",34,2937,9,1.4,106.9,92.5,0,7.1,0.2,7.62,8,8,1,1.8,1.6,5,1.2,1,0.2,0.9,0.7,2.1,0.8,1.2,0,1.2,0.9,0.2,0
Michael Olise,162,Crystal Palace,23, AM(CLR)  ,14(5),1277,6,1.9,32.1,83.1,1.3,1.3,0.3,7.61,10,0,0,3,0.4,6,2.1,2.3,0.1,1.7,2.2,1,0.6,0.7,0,0.5,0.8,0,0
Phil Foden,167,Man City,24," AM(CLR),FW  ",33(2),2869,8,2.1,47.7,89.1,0.5,1.2,0.3,7.55,19,2,0,3,0.2,10,1.3,1.7,0.1,1.4,1.8,0.9,0.4,0.4,0,0.5,0.5,0,0
Cole Palmer,15,Chelsea,22," AM(CR),FW  ",29(4),2618,11,2.2,39.5,83.3,0.5,2.1,0.4,7.48,22,7,0,3.3,0,5,1.6,0.8,0.2,1.3,1.7,0.7,0.6,0.7,0,0.3,0.3,0.1,0
Eberechi Eze,162,Crystal Palace,26, AM(CLR)  ,24(3),2064,4,2,29.3,83.7,1.3,1,0.2,7.45,11,3,0,3.1,0.4,5,2.6,1.8,0.4,1.8,2.9,1.3,0.4,1,0,0.1,0.6,0.1,0
Erling Haaland,167,Man City,24, FW  ,29(2),2559,5,0.9,12.3,77.4,0,0.1,0,7.40,27,1,0,3.9,1.3,6,0.4,1,0.2,0.6,1.3,0.2,0.1,0.6,0,0.5,0,0,0
Bruno Fernandes,32,Man Utd,30," M(CLR),FW  ",35,3120,8,3.3,54.6,79.4,1.5,4.3,0.3,7.39,10,9,0,2.7,0.6,6,0.5,0.8,0.4,1,1.4,1.9,0.8,1.2,0,1.3,1.7,0.2,0
Declan Rice,13,Arsenal,26," D(C),DMC  ",37(1),3232,8,1.2,58.6,90.7,0.6,2.1,0,7.38,7,5,0,1.5,1,5,0.6,0.3,0.1,0.6,0.8,2.2,1.2,0.9,0.1,1.3,0.7,0.3,0
Bruno Guimarães,23,Newcastle,27, DMC  ,37,3269,8,1.7,61.2,85,0.3,3.5,0.3,7.37,7,9,0,1.3,0.5,6,1.9,2.9,0,1.9,1.6,2.4,0.9,1.4,0,0.5,1,0.4,0
Martin Ødegaard,13,Arsenal,26, AM(CR)  ,35,3104,10,2.9,54.3,86.8,0.9,1.3,0.6,7.37,8,2,0,2.2,0.1,5,1.1,1,0.1,1.7,1.5,1.4,0.4,0.9,0,0.1,1.2,0,0
Son Heung-Min,30,Tottenham,32," M(CLR),FW  ",34(1),2948,10,1.9,29.3,85.1,0.1,0.3,0.3,7.30,17,1,0,2.4,0.1,6,1.1,1.1,0.6,1.2,1.6,0.6,0.2,0.3,0,0.1,0.3,0,1
Anthony Gordon,23,Newcastle,24," AM(CLR),FW  ",34(1),2906,10,1.6,26.3,81.8,0.9,0.8,0.1,7.29,11,10,1,2.3,0.3,4,1.5,1.9,0.2,1.1,2,1.6,0.2,1.1,0,0.1,1.2,0,0
Ollie Watkins,24,Aston Villa,29," AM(LR),FW  ",37,3227,13,1.2,15.9,76.8,0.1,0.1,0.1,7.27,19,4,0,2.9,1.4,7,0.7,1.1,0.4,1.5,2.1,0.3,0.1,0.6,0.1,0.5,0.2,0.1,0
Jérémy Doku,167,Man City,22, M(LR)  ,18(11),1596,8,1.6,27.1,86,0.4,0.5,0,7.24,3,3,0,1.9,0.1,5,3,1.1,0.2,1.3,1.8,1.3,0.3,0.5,0,0.1,0.4,0,0
Mohamed Salah,26,Liverpool,32," AM(CLR),FW  ",28(4),2536,10,2.1,29.2,75.7,0.3,0.8,0.3,7.24,18,2,0,3.6,0.2,4,0.8,0.8,0.5,1.8,2.4,0.5,0.1,0.4,0,0,0.5,0,0
Mohammed Kudus,29,West Ham,24," M(CLR),FW  ",27(6),2488,6,0.8,23.4,84.5,0.6,1.3,0,7.23,8,6,0,2,0.5,6,3.8,2.3,0.5,2.8,2.4,2,0.3,1.2,0,0.2,0.6,0,0
James Maddison,30,Tottenham,28, AM(CLR)  ,26(2),2155,9,2.4,48.1,87.4,0.8,1.5,0.3,7.17,4,5,0,2.1,0.1,1,1.1,2.6,0.1,1.2,1.3,1.2,0.5,0.8,0,0.3,0.5,0.1,0
Kai Havertz,13,Arsenal,25," M(CR),FW  ",30(7),2641,7,1.2,25.2,81.1,0.1,0.2,0.1,7.16,13,11,0,1.9,2.8,3,0.4,1.2,0.4,0.9,1.5,0.9,0.5,1.3,0,0.6,0.7,0,0
Bernardo Silva,167,Man City,30," M(CLR),FW  ",29(4),2582,9,1.9,55.3,89.4,0.5,1.8,0,7.15,6,8,0,1,0.1,2,1.2,0.8,0.1,1,1.3,1.5,0.5,0.7,0,0.4,1,0.1,0
Virgil van Dijk,26,Liverpool,33, D(C)  ,36,3178,2,0.3,79.8,91.5,0,4.3,0,7.15,2,3,1,1.3,3.9,1,0.1,0.4,0,0.1,0.2,1.1,1.1,0.6,0.5,3.9,0.1,0.9,0
Alexander Isak,23,Newcastle,25," AM(L),FW  ",27(3),2267,2,0.9,15.8,80,0,0.3,0,7.14,21,1,0,2.6,0.3,3,1.4,0.5,0.6,0.8,1.6,0.2,0.2,0.5,0,0.4,0.2,0,0
Pascal Groß,211,Brighton,33," D(LR),M(CR),FW  ",34(2),3114,10,2.9,81.3,90.2,2.5,2.7,0,7.13,4,7,0,1.5,0.4,6,0.4,0.8,0.1,0.8,1,1.9,0.6,0.6,0.1,0.8,1.1,0.2,0
Conor Gallagher,15,Chelsea,25, M(CL)  ,37,3137,7,1.4,52.2,91.5,0.5,1.5,0.1,7.13,5,7,1,1.3,0.7,1,1,1.7,0,1.1,1.9,2.3,1.2,2.2,0,0.8,1.2,0.3,0
Matheus Cunha,161,Wolves,25," AM(CL),FW  ",29(3),2454,7,0.9,24.6,81.6,0.1,0.6,0.2,7.13,12,9,0,2.3,0.5,5,2,1.6,0.1,1.7,2.5,0.9,0.4,1,0,0.6,0.7,0.2,0
Andy Robertson,26,Liverpool,31," D(L),M(L)  ",18(5),1693,2,2.7,54.1,87.7,2.4,2,0,7.12,3,2,0,0.5,0.6,0,0.2,0.2,0.1,0.3,0.8,1.5,0.6,0.4,0.2,1.5,0.7,0.3,0
Trent Alexander-Arnold,26,Liverpool,26," D(R),DMC,M(R)  ",25(3),2161,4,2.3,60.2,79.6,2,5.3,0.3,7.12,3,6,0,1.7,0.3,3,1,0.3,0.1,0.2,1,1.4,1.1,0.3,0.2,1.5,2.1,0.1,0
Julián Alvarez,167,Man City,25," AM(CLR),FW  ",31(5),2660,9,1.9,30.8,87.9,0.8,0.7,0.1,7.10,11,2,0,2.7,0.1,1,0.6,0.4,0.1,1,1.6,0.7,0.1,0.6,0,0.4,0.7,0,0
Jarrod Bowen,29,West Ham,28," AM(CLR),FW  ",34,3021,6,0.9,18.3,75.1,0.4,0.4,0.1,7.10,16,2,0,2.5,1,2,1,1.2,0.6,1.7,2.3,1.2,0.6,0.8,0,0.4,0.6,0.1,0
Diogo Jota,26,Liverpool,28," AM(CLR),FW  ",14(7),1151,3,1,18.3,74.5,0,0.4,0.1,7.09,10,1,1,2,0.9,1,0.7,1,0.1,0.9,2,1.1,0.3,1.3,0,0.2,0.6,0,0
Alexis Mac Allister,26,Liverpool,26," M(CL),FW  ",31(2),2612,5,1.4,58.4,87.8,0.3,1.8,0.2,7.09,5,7,1,1.3,0.9,2,0.5,1.4,0,1.1,0.9,3,1.1,1.6,0,0.8,2,0.2,0
Luis Díaz,26,Liverpool,28," AM(LR),FW  ",32(5),2646,5,1.7,27.5,85.3,0.2,1.2,0,7.09,8,3,0,2.5,0.7,3,1.8,1.1,0.5,1.9,1.9,0.9,0.1,1.5,0,0.2,0.6,0,0
James Tarkowski,31,Everton,32, D(C)  ,38,3420,1,0.6,40.1,77.8,0.1,4.2,0,7.08,1,11,0,0.7,3.8,5,0.4,0.7,0,0.4,0.4,1.6,1.5,1.2,0.4,4.9,0.6,1.5,0
Nicolas Jackson,15,Chelsea,23, FW  ,31(4),2810,5,1.1,18.8,78,0,0.3,0.1,7.07,14,10,0,2.3,1,3,1.5,1.1,0.8,1.9,2.5,0.6,0.1,0.8,0,0.5,0.5,0.1,0
Kieran Trippier,23,Newcastle,34," D(LR),M(R)  ",26(2),2240,10,2.3,61.2,79.7,2.5,2.8,0,7.07,1,5,0,0.3,1.1,3,0.6,0.8,0.1,0.3,0.7,2,0.9,1,0.3,1.7,1.4,0.3,0
Ross Barkley,95,Luton,31, M(CLR)  ,30(2),2622,4,1.4,44,84.5,0.4,2.8,0.1,7.05,5,6,0,2.1,1.4,1,2.1,1.3,0,1.8,0.8,1.5,0.8,0.8,0,1.5,1.2,0.3,0
Lucas Paquetá,29,West Ham,27," M(CLR),FW  ",31,2638,6,1.4,45.5,75.2,0.3,2.3,0.5,7.04,4,10,0,1.4,2,0,1.3,2.1,0.2,2.6,2.3,2.3,0.7,1.5,0,0.8,0.9,0,0
Pedro Porro,30,Tottenham,25," D(R),M(R)  ",35,3093,7,1.5,53.3,79.6,1.1,2.2,0.2,7.04,3,3,0,1.5,0.5,3,0.7,0.8,0,0.4,1.1,2.6,1,1.1,0.5,2.3,1.7,0.5,0
João Palhinha,170,Fulham,29, DMC  ,31(2),2711,1,0.4,40,83,0,2.4,0.1,7.04,4,13,0,1.4,1.2,2,0.3,1.7,0.1,0.8,0.9,4.6,1.4,1.6,0.1,1.6,1.5,0.3,0
Dominic Solanke,183,Bournemouth,27, FW  ,37(1),3333,3,1,14,73.7,0.1,0.2,0,7.03,19,3,0,2.9,2.6,3,1,1.2,0.4,2.1,3.6,0.6,0.2,1.1,0.1,1.1,0.5,0.1,0
Josko Gvardiol,167,Man City,23, D(CL)  ,26(2),2330,1,0.6,61.9,88.3,0.1,1.5,0,7.03,4,3,0,1.1,1.1,1,0.9,0.8,0.1,0.5,0.8,2,1,0.7,0.3,0.9,0.6,0.4,0
Cristian Romero,30,Tottenham,26, D(C)  ,33,2793,0,0.2,78.4,91.9,0,1.8,0.1,7.03,5,7,1,0.7,2.7,1,0.2,0.7,0,0.1,0.4,2,1.3,0.9,0.9,3,0.4,0.7,1
Bryan Mbeumo,189,Brentford,25," AM(LR),FW  ",22(3),1960,6,1.3,26,72.3,1.2,0.7,0.2,7.02,9,2,0,2.1,0.9,3,1,1.7,0.1,1.6,2.7,0.6,0.3,0.9,0,0.5,0.6,0.1,0
Morgan Gibbs-White,174,Nottingham Forest,25," AM(CLR),FW  ",35(2),3164,10,2,34.7,76.9,1.5,2,0.2,7.00,5,9,0,1.9,1.6,2,1.2,1.5,0.2,1.2,2.1,1,0.5,1,0,0.5,0.5,0.2,0
James Ward-Prowse,29,West Ham,30, M(CR)  ,34(3),3006,7,1.7,39.8,89.6,1.7,1.4,0,6.99,7,4,0,1.2,0.7,4,0.3,0.5,0,0.3,0.4,1.2,1,0.6,0,1.2,0.7,0.2,0
Jacob Murphy,23,Newcastle,30," D(R),M(LR)  ",14(7),1194,7,1.5,20,73.6,0.8,0.3,0.2,6.99,3,1,0,1.4,0.2,1,0.6,0.7,0,0.7,0.9,1,0.3,0.3,0,0.6,0.7,0,0
Gabriel Magalhães,13,Arsenal,27, D(C)  ,34(2),3044,0,0.1,59.6,89.1,0,1.9,0,6.99,4,4,0,0.9,2.2,1,0.1,0.9,0,0.1,0.3,1.3,0.9,1,0.5,2.7,0.1,0.9,1
Pedro Neto,161,Wolves,25," AM(CLR),FW  ",18(2),1521,9,1.9,29.5,83.4,1.7,0.9,0,6.99,2,4,0,1.8,0.2,1,1.9,1.1,0.1,1,2.2,0.4,0.3,0.8,0,0.1,0.5,0.1,0
John McGinn,24,Aston Villa,30, M(CLR)  ,35,3010,4,1.3,32.6,82.7,0.7,2.1,0.2,6.98,6,9,1,1.1,0.3,3,1.5,2,0.1,1.7,1.6,1.7,0.6,1.1,0.1,0.5,1.3,0.1,0
Dwight McNeil,31,Everton,25, M(CLR)  ,33(2),2900,6,2,28.6,78.3,1.9,1.3,0.2,6.97,3,2,0,1.6,0.5,3,0.9,0.9,0.1,1.7,1.9,1.3,0.6,0.5,0,0.8,0.9,0.2,0
Casemiro,32,Man Utd,33," D(C),DMC  ",24(1),1987,2,0.6,56.2,82.6,0.1,3.2,0,6.97,1,7,0,1.6,1.7,1,0.4,0.4,0.2,0.7,0.6,3.3,0.7,1.2,0,2.6,2.2,1.3,0
Leon Bailey,24,Aston Villa,27," M(CLR),FW  ",22(13),2080,9,1.5,20,78.2,0.5,0.8,0.1,6.96,10,5,0,1.5,0.4,3,1.6,0.7,0.3,1.2,1.5,0.4,0.3,0.7,0,0.1,0.4,0,0
Dejan Kulusevski,30,Tottenham,24," AM(CR),FW  ",31(5),2767,3,1.8,31.4,81.9,0.6,0.4,0.1,6.96,8,7,0,1.6,0.2,3,1.5,0.8,0.3,1.8,2.4,1.7,0.5,1.5,0,0,1.2,0,0
Alphonse Areola,29,West Ham,32, GK  ,31,2702,0,0,23.2,59.3,0,5.9,0,6.96,0,1,0,0,0.4,4,0,0.1,0,0,0,0,0,0.1,0,0.9,0.1,0,1
Diogo Dalot,32,Man Utd,26," D(LR),M(LR)  ",35(1),3174,3,1.1,41.4,83.8,0.7,2.1,0,6.96,2,4,1,0.8,0.9,1,0.9,0.4,0.1,0.3,0.7,2.3,1,1.3,0.2,2.7,0.6,0.4,0
Douglas Luiz,24,Aston Villa,26, M(C)  ,35,3003,5,1.5,56.4,89.4,0.9,2.8,0.2,6.95,9,12,0,1.4,0.7,3,0.7,1.2,0,0.9,0.9,1.7,0.7,1.5,0.1,0.5,0.8,0.2,0
Willy-Arnaud Boly,174,Nottingham Forest,34, D(C)  ,18(2),1443,1,0.5,30.6,76.9,0,1.6,0.1,6.94,2,1,1,0.7,2.9,1,0.2,0.1,0.1,0.2,0.2,2.3,1.3,1,0.4,4.3,0.9,1.1,0
Dan Burn,23,Newcastle,32," D(CL),M(L)  ",32(1),2733,2,0.3,45.5,81.1,0.1,0.8,0,6.94,2,4,0,0.7,3.1,1,0.1,0.3,0.1,0.3,0.5,1.8,1.1,1,0.3,3.6,1.1,0.8,0
João Pedro,211,Brighton,23," AM(CL),FW  ",19(12),2046,3,1.2,25,82.7,0.3,0.5,0.1,6.93,9,2,0,2.4,1.3,3,1.4,1.9,0.4,2,2.7,1,0.4,0.6,0.1,0.8,0.3,0.1,0
Ben White,13,Arsenal,27," D(CR),DMC  ",35(2),2995,4,1.1,51.6,86.7,0.4,1.4,0,6.93,4,8,0,0.4,1,0,0.2,0.3,0.3,0.2,0.7,1.3,0.9,0.5,0.3,1.8,0.9,0.6,0
Antonee Robinson,170,Fulham,27," D(L),M(L)  ",37,3269,6,0.9,44,75.9,0.8,2.7,0,6.92,0,6,0,0.4,1.1,1,1,0.5,0.1,0.4,1.3,2.5,2.2,0.9,0.5,2.9,1.6,0.2,2
Jarrad Branthwaite,31,Everton,22, D(C)  ,35,3117,0,0.1,39.2,80.1,0,2.1,0,6.90,3,8,0,0.4,2.7,0,0.1,0.5,0.1,0.1,0.6,1.9,1.4,0.7,0.5,4.5,0.5,1,0
Gabriel Jesus,13,Arsenal,27," AM(LR),FW  ",17(10),1482,5,1.1,18.1,81,0,0.3,0.2,6.89,4,6,0,2,0.6,2,1.3,1.2,0.6,1.4,2.3,0.9,0.5,1,0,0.4,0.5,0,0
Gabriel Martinelli,13,Arsenal,23," AM(LR),FW  ",24(11),2031,4,1.3,23.1,85,0.8,0.7,0.1,6.89,6,1,0,1.7,0.5,1,1.1,0.7,0.3,1.2,1.5,0.9,0.1,0.7,0,0.2,0.5,0,0
Ryan Christie,183,Bournemouth,30," M(CLR),FW  ",35(2),2922,5,1.5,33,79.3,0.5,2.4,0.2,6.89,0,6,0,1.2,0.6,2,1.4,1,0.1,1.3,1.6,2.3,1.4,1.3,0.1,1.4,1.4,0.3,0
Darwin Núñez,26,Liverpool,25," AM(CL),FW  ",22(14),2050,8,0.9,12.9,71.6,0.1,0.3,0,6.89,11,9,0,3,0.9,0,0.4,0.4,0.9,0.8,1.5,0.6,0.1,0.8,0,0.3,0.3,0.2,0
Tomás Soucek,29,West Ham,30, M(C)  ,34(3),2876,2,0.5,25.6,75.7,0.1,0.8,0,6.88,7,7,0,1.2,2.9,3,0.1,0.6,0.3,0.3,0.5,1.4,1,1.1,0.1,2.9,0.7,0.8,0
Kaoru Mitoma,211,Brighton,27, M(L)  ,15(4),1488,4,1.3,31.4,83.4,0.3,0.3,0,6.88,3,4,0,1.8,0.6,1,2.1,1.2,0.4,0.8,2,0.7,0.3,0.7,0,0.6,0.7,0.1,0
Ethan Pinnock,189,Brentford,31, D(C)  ,28(1),2521,0,0.1,48.2,84,0,2.4,0,6.88,2,1,0,0.7,3.9,1,0.2,0.4,0,0.1,0.4,1.2,1.5,0.1,0.5,5.8,0.4,0.8,0
Jean-Philippe Mateta,162,Crystal Palace,27, FW  ,25(10),2285,5,0.9,11.8,73.8,0.1,0.2,0,6.88,16,3,0,1.3,1.4,2,0.7,0.6,0.7,2.2,2.5,0.6,0.1,1,0,0.4,0.1,0.1,0
Antoine Semenyo,183,Bournemouth,25," AM(LR),FW  ",25(8),2113,2,0.9,17.8,74.3,0.2,0.5,0.1,6.88,8,6,0,2.1,1.6,3,1.5,0.7,0.1,1.6,1.8,0.7,0.2,1.3,0,0.6,0.5,0.1,0
Joachim Andersen,162,Crystal Palace,28, D(C)  ,38,3418,3,0.5,56.7,79.5,0.3,5.3,0.1,6.88,2,7,0,0.6,2.4,4,0.4,0.6,0,0.2,0.3,1.5,1.1,1.1,0.5,5.3,0.3,0.5,0
Yoane Wissa,189,Brentford,28," AM(L),FW  ",29(5),2509,3,0.9,12.9,73.2,0.1,0.4,0.1,6.87,12,7,0,2,1.1,2,0.6,1.5,0.6,0.6,1.7,0.8,0.3,1.1,0.1,0.4,0.4,0.1,0
Cody Gakpo,26,Liverpool,25," AM(CLR),FW  ",17(18),1646,5,0.7,15.3,79.3,0.2,0.3,0,6.87,8,1,0,1.9,0.9,2,0.9,1.1,0.2,0.9,1.3,0.8,0.4,0.8,0,0.2,0.5,0.1,0
Harry Maguire,32,Man Utd,32, D(C)  ,18(4),1651,2,0.3,49.8,83.4,0,3.3,0,6.87,2,4,0,0.9,3.1,0,0,0.5,0.3,0.1,0.4,1.1,1.1,1,0.5,3.8,0.5,1.1,0
Marcus Tavernier,183,Bournemouth,26, M(CLR)  ,25(5),2134,4,1.5,25.3,79.3,0.8,0.9,0.1,6.86,3,3,0,1.8,0.4,1,1.5,0.7,0.1,1.4,1.8,1.8,0.2,0.7,0,0.6,0.7,0.1,0
Simon Adingra,211,Brighton,23," M(LR),FW  ",25(6),2233,1,1.1,24.1,81.1,0.5,0.5,0.2,6.86,6,3,0,1.7,0.3,3,1.6,0.6,0.5,0.9,1.5,1.5,0.6,0.9,0,0.7,0.7,0,0
Mario Lemina,161,Wolves,31," D(C),M(C)  ",34(1),2976,1,0.6,41.1,86.7,0.1,1.7,0.1,6.85,4,10,1,1.4,1,2,0.7,0.7,0.2,0.6,0.9,2.6,1.2,1.2,0,1.6,0.6,0.3,0
Moisés Caicedo,15,Chelsea,23," D(R),DMC  ",33(2),2875,3,0.7,59.9,90.8,0,2.5,0.1,6.85,1,11,0,0.4,0.9,2,0.7,1.4,0,0.7,1,2.6,1.1,1.4,0.1,0.9,0.7,0.7,0
William Saliba,13,Arsenal,24, D(C)  ,38,3420,1,0.2,74.7,92.6,0,1.8,0.1,6.85,2,4,0,0.3,1.9,2,0.3,0.4,0,0.3,0.6,1.1,0.8,0.6,0.4,2.1,0.2,0.4,0
Vitalii Mykolenko,31,Everton,25," D(CL),M(L)  ",28,2472,0,0.5,31.5,74.9,0.5,1.9,0,6.85,2,1,0,0.9,1.1,2,0.6,0.3,0,0.4,1.4,2.5,1.3,0.8,0.4,2.9,0.9,0.4,0
Jordan Ayew,162,Crystal Palace,33," AM(CLR),FW  ",30(5),2551,7,0.7,23.2,80.6,0.5,0.3,0,6.85,4,7,1,1.4,1,3,1.5,2.7,0.2,2.3,2.4,1.9,0.5,1.3,0,0.4,0.6,0.1,0
Kyle Walker,167,Man City,34," D(CR),M(R)  ",30(2),2767,4,0.8,66.8,90.4,0.6,2.4,0.1,6.85,0,2,0,0.5,0.8,0,0.7,0.6,0.2,0.4,0.8,1.2,0.8,0.7,0.3,1.1,0.6,0.2,0
André Onana,32,Man Utd,28, GK  ,38,3420,0,0.1,36.1,70.4,0,5.4,0,6.84,0,5,0,0,0.4,2,0,0.1,0,0,0,0.1,0,0,0,0.6,0,0,0
Noni Madueke,15,Chelsea,23," AM(R),FW  ",13(10),1057,2,0.9,19.7,88.5,0.2,0.4,0,6.84,5,2,0,1.4,0.3,2,1.6,0.8,0.1,0.6,1.1,0.7,0.2,0.3,0,0.5,1,0,0
James Garner,31,Everton,24, M(CR)  ,34(3),3006,2,1.2,30,82.8,0.7,1.2,0.1,6.84,1,7,0,1.1,0.7,0,0.5,1.2,0.1,0.3,0.9,2.2,1.2,1.1,0,1.2,1.3,0.4,0
Ibrahima Konaté,26,Liverpool,25, D(C)  ,17(5),1571,0,0.4,65.9,88,0,2.1,0.1,6.84,0,3,1,0.5,3.5,0,0.3,0.6,0,0.2,0.4,1.6,0.9,1.1,0.8,2.3,0.3,0.5,0
Richarlison,30,Tottenham,27," AM(CLR),FW  ",18(10),1493,4,0.5,13.4,70.9,0,0.3,0,6.83,11,3,0,2.2,0.9,1,0.4,1.1,0.4,1.4,1.9,0.6,0.3,0.7,0,0.8,0.3,0.2,0
Rúben Dias,167,Man City,27, D(C)  ,28(2),2558,0,0.2,86.9,94.1,0.1,2.8,0.1,6.83,0,0,0,0.7,1.6,0,0,0.5,0,0.2,0.3,1.3,1,0.8,0.6,2.5,0.2,0.6,1
Idrissa Gueye,31,Everton,35, M(C)  ,24(1),1896,0,0.6,35.2,85.6,0,0.9,0,6.83,4,8,0,1,0.6,1,0.4,1.2,0,0.8,0.7,2.9,1.1,1.4,0,0.6,0.7,0.3,0
Lewis Cook,183,Bournemouth,28," D(R),M(CL)  ",32(1),2792,3,1.4,40.7,81.2,1,1.5,0,6.83,0,5,1,0.4,1.3,2,0.6,0.5,0.1,0.6,1.1,1.8,2,1.2,0,1.3,0.9,0.3,0
Martin Dúbravka,23,Newcastle,36, GK  ,22(1),1984,0,0,22,74.9,0,3.1,0,6.83,0,1,0,0,0.2,2,0,0.2,0,0,0.1,0,0,0.1,0,0.7,0.2,0,0
Alfie Doughty,95,Luton,25," D(L),M(LR)  ",34(3),2938,8,1.9,29.5,75.2,2.4,1.8,0,6.83,2,5,0,0.7,0.6,2,0.9,0.2,0.4,0.4,1.4,1.7,0.8,0.8,0.1,1,1.2,0.2,0
Leandro Trossard,13,Arsenal,30," M(CLR),FW  ",18(16),1647,1,0.7,17.8,78.7,0.3,0.5,0,6.82,12,2,0,1.8,0.2,1,0.7,0.6,0.3,1.1,1.4,0.8,0.2,0.4,0,0.1,0.5,0,0
Oliver McBurnie,163,Sheff Utd,28," AM(CL),FW  ",15(6),1287,3,0.6,19,60.3,0.1,0,0,6.82,6,3,2,1.6,5.4,2,0.3,1.3,0.2,0.9,1.2,0.8,0.2,0.9,0,1.3,0.3,0.1,0
Jefferson Lerma,162,Crystal Palace,30," D(CR),DMC  ",27(1),2404,1,0.9,43.8,82.4,0.1,1.4,0.1,6.82,1,8,0,1.2,2.5,1,0.4,0.9,0.1,0.5,0.9,1.5,1.3,1.5,0,2.3,0.8,0.4,0
Levi Colwill,15,Chelsea,22, D(CL)  ,20(3),1800,1,0.3,45.8,83.4,0,1.9,0,6.82,1,2,0,0.5,1.9,2,0.4,0.6,0.2,0.2,1,2.1,1.1,1.1,0.3,2.8,0.3,0.4,0
Marc Cucurella,15,Chelsea,26," D(CL),M(L)  ",20(1),1786,2,0.9,50.3,86.7,0.2,0.7,0,6.81,0,10,0,0.4,1.2,0,0.2,1.7,0,0.3,0.7,3,1,1.1,0.1,1.6,1.4,0.6,1
Dominik Szoboszlai,26,Liverpool,24," AM(CLR),FW  ",25(8),2110,2,1.7,42.4,87.3,0.8,1.6,0.1,6.81,3,1,0,1.8,0.4,1,0.7,0.9,0.1,0.8,0.8,1,0.5,0.9,0,0.4,1,0.1,0
Craig Dawson,161,Wolves,34, D(CR)  ,25,2211,1,0.4,50.9,86.7,0,4,0.1,6.81,1,7,0,0.6,2.5,2,0.1,0.6,0.2,0.1,0.2,1.2,0.6,0.8,0.4,4.8,0.5,1.6,0
Fabian Schär,23,Newcastle,33, D(C)  ,35(1),3057,1,0.3,58.5,83.2,0.1,5.1,0.1,6.81,4,5,0,1,1.9,1,0.4,0.7,0,0.3,0.5,1.2,1,1.1,0.4,3.6,0.6,1.1,0
Oleksandr Zinchenko,13,Arsenal,28," D(L),M(CLR)  ",20(7),1727,2,1.1,52.3,89.4,0.2,2,0.2,6.81,1,2,0,0.6,1,3,0.3,0.3,0,0.6,0.4,1.9,0.7,0.3,0.1,0.8,0.6,0.1,0
